Enzyme	Substrate (uM)	Time (s)	Absorbance
enz1	0	0	-0.0637249192
enz1	0	2	-0.07566293543
enz1	0	4	0.03252821448
enz1	0	6	0.02737841236
enz1	0	8	-0.1149583945
enz1	0	10	0.01449321169
enz1	0	12	-0.001014999499
enz1	0	14	0.02823036769
enz1	0	16	0.08048176456
enz1	0	18	-0.03454341284
enz1	0	20	0.005857050153
enz1	0	22	0.02601704366
enz1	0	24	-0.0655650044
enz1	0	26	-0.02456509667
enz1	0	28	-0.08945512693
enz1	0	30	-0.08714938165
enz1	0	32	0.001756688952
enz1	0	34	0.09302358481
enz1	0	36	-0.05551986631
enz1	0	38	-0.02432465307
enz1	0	40	0.0398600403
enz1	0	42	0.04754536094
enz1	0	44	-0.006689274865
enz1	0	46	0.04001183995
enz1	0	48	-0.06488842885
enz1	0	50	0.03576622871
enz1	0	52	-0.005022538808
enz1	0	54	-0.020138902
enz1	0	56	0.07229413712
enz1	0	58	-0.02121380375
enz1	0	60	-0.01911922135
enz1	0	62	0.0988381487
enz1	0	64	0.06986950238
enz1	0	66	0.03141157917
enz1	0	68	0.01871695704
enz1	0	70	-0.0720305552
enz1	0	72	0.08990940706
enz1	0	74	-0.05914706657
enz1	0	76	-0.03646056572
enz1	0	78	0.03168844726
enz1	0	80	0.03805344614
enz1	0	82	0.02631149949
enz1	0	84	0.01045159334
enz1	0	86	-0.09024698161
enz1	0	88	-0.1003329285
enz1	0	90	-0.04240752103
enz1	0	92	0.02595382012
enz1	0	94	0.04696106271
enz1	0	96	0.03396371749
enz1	0	98	-0.03319694726
enz1	0	100	-0.07497965435
enz1	0	102	-0.04533682535
enz1	0	104	0.08151266759
enz1	0	106	0.001335381452
enz1	0	108	0.006908263962
enz1	0	110	0.03327872786
enz1	0	112	0.02016179894
enz1	0	114	-0.06826670178
enz1	0	116	0.0403013387
enz1	0	118	-0.05696277267
enz1	0	120	-0.07680702938
enz1	0	122	-0.03437022837
enz1	0	124	-0.04193514583
enz1	0	126	0.02386565163
enz1	0	128	0.001981188034
enz1	0	130	-0.04931084914
enz1	0	132	-0.01462406009
enz1	0	134	-0.06662971802
enz1	0	136	0.01859029674
enz1	0	138	0.009329394803
enz1	0	140	0.003177885869
enz1	0	142	-0.008746307731
enz1	0	144	-0.008296365343
enz1	0	146	-0.001711681762
enz1	0	148	-0.04035466235
enz1	0	150	0.02471482487
enz1	0	152	0.1033626995
enz1	0	154	0.04289780545
enz1	0	156	0.05520886272
enz1	0	158	0.1483622052
enz1	0	160	-0.04178269318
enz1	0	162	0.04615604787
enz1	0	164	-0.1084776568
enz1	0	166	-0.03737649337
enz1	0	168	0.03386004322
enz1	0	170	0.01790779231
enz1	0	172	-0.0141092916
enz1	0	174	-0.03240037294
enz1	0	176	-0.00106088664
enz1	0	178	-0.005878131741
enz1	0	180	-0.01391221583
enz1	0	182	0.01069876868
enz1	0	184	0.03243891959
enz1	0	186	-0.0166655697
enz1	0	188	-0.01954485552
enz1	0	190	0.01449100141
enz1	0	192	0.05633410195
enz1	0	194	-0.008714488073
enz1	0	196	0.01048544998
enz1	0	198	-0.1444033175
enz1	0	200	-0.03374279799
enz1	10	0	0.04414893971
enz1	10	2	0.02480340094
enz1	10	4	-0.003512407579
enz1	10	6	0.01895117857
enz1	10	8	0.008123863827
enz1	10	10	0.05550620496
enz1	10	12	0.03263038834
enz1	10	14	-0.01102720345
enz1	10	16	0.04730539954
enz1	10	18	0.03619854952
enz1	10	20	0.05032386259
enz1	10	22	0.03729598208
enz1	10	24	0.04936971959
enz1	10	26	-0.004040653634
enz1	10	28	-0.01377671153
enz1	10	30	0.05022759373
enz1	10	32	-0.008684692359
enz1	10	34	0.06552196841
enz1	10	36	0.0976803795
enz1	10	38	0.01581094734
enz1	10	40	-0.007603174332
enz1	10	42	0.01229819177
enz1	10	44	-0.01529359878
enz1	10	46	0.03468316823
enz1	10	48	-0.03380937476
enz1	10	50	0.06198485456
enz1	10	52	0.07571472481
enz1	10	54	0.0200604056
enz1	10	56	0.1371898129
enz1	10	58	0.04972347142
enz1	10	60	0.08962118407
enz1	10	62	0.0467421551
enz1	10	64	0.02197926386
enz1	10	66	0.08937697889
enz1	10	68	0.03949251947
enz1	10	70	0.07255127775
enz1	10	72	0.1035874502
enz1	10	74	0.09242275791
enz1	10	76	-0.03828250614
enz1	10	78	0.1095076717
enz1	10	80	-0.02077218935
enz1	10	82	0.09271789515
enz1	10	84	0.03643264571
enz1	10	86	0.004540873339
enz1	10	88	0.05619057896
enz1	10	90	0.1193802259
enz1	10	92	0.1152923646
enz1	10	94	0.08783937517
enz1	10	96	0.01528723731
enz1	10	98	0.04968827643
enz1	10	100	-0.0148007406
enz1	10	102	0.1475636843
enz1	10	104	0.06715744912
enz1	10	106	0.09260772591
enz1	10	108	0.1059606881
enz1	10	110	0.1220570971
enz1	10	112	0.1079929479
enz1	10	114	0.05407777171
enz1	10	116	0.1022203957
enz1	10	118	0.1565777881
enz1	10	120	0.1522370551
enz1	10	122	0.1224763329
enz1	10	124	0.09892455068
enz1	10	126	0.0179846959
enz1	10	128	0.1051600699
enz1	10	130	0.04830077488
enz1	10	132	0.03994024013
enz1	10	134	0.02030644536
enz1	10	136	0.190370312
enz1	10	138	0.02793313189
enz1	10	140	0.1356941407
enz1	10	142	0.09507159404
enz1	10	144	0.01178241416
enz1	10	146	0.07298648661
enz1	10	148	0.04250983028
enz1	10	150	0.154662842
enz1	10	152	0.1008798437
enz1	10	154	0.2125073219
enz1	10	156	0.09238344734
enz1	10	158	0.06194893873
enz1	10	160	0.05992079514
enz1	10	162	0.09097594432
enz1	10	164	0.1436547479
enz1	10	166	0.1788329092
enz1	10	168	0.09704842398
enz1	10	170	0.1012477517
enz1	10	172	0.157012157
enz1	10	174	0.156369376
enz1	10	176	0.1591740362
enz1	10	178	0.1968968607
enz1	10	180	0.04551094161
enz1	10	182	0.1435410773
enz1	10	184	0.2091502894
enz1	10	186	0.001611114755
enz1	10	188	0.1971287269
enz1	10	190	0.01457547742
enz1	10	192	0.09042187925
enz1	10	194	0.136650492
enz1	10	196	0.1842744083
enz1	10	198	0.1844836852
enz1	10	200	0.107425869
enz1	20	0	-0.02467384998
enz1	20	2	-0.000359210436
enz1	20	4	-0.0009621036629
enz1	20	6	-0.02137185112
enz1	20	8	0.118965166
enz1	20	10	-0.003526811687
enz1	20	12	-0.02704139167
enz1	20	14	0.03646695193
enz1	20	16	0.07800528583
enz1	20	18	-0.03389458176
enz1	20	20	0.09339363231
enz1	20	22	0.07767747863
enz1	20	24	0.03029380845
enz1	20	26	0.03567521968
enz1	20	28	0.08952783247
enz1	20	30	0.05186963304
enz1	20	32	-0.02839716677
enz1	20	34	-0.01607078784
enz1	20	36	0.1061240281
enz1	20	38	0.1712860985
enz1	20	40	-0.0360933489
enz1	20	42	0.05576101162
enz1	20	44	0.001956189337
enz1	20	46	0.06221634833
enz1	20	48	0.153711221
enz1	20	50	-0.02079095417
enz1	20	52	0.06663029137
enz1	20	54	-0.02547873491
enz1	20	56	0.05436218822
enz1	20	58	0.1298914606
enz1	20	60	0.09389052585
enz1	20	62	0.118065026
enz1	20	64	0.07461934104
enz1	20	66	0.08900591109
enz1	20	68	0.1037149915
enz1	20	70	0.05328551185
enz1	20	72	0.05081758826
enz1	20	74	0.01129364747
enz1	20	76	0.05256368968
enz1	20	78	0.1181917917
enz1	20	80	0.03776166527
enz1	20	82	0.04087544394
enz1	20	84	-0.03274247695
enz1	20	86	0.1240360133
enz1	20	88	0.1100948797
enz1	20	90	0.1245377675
enz1	20	92	0.1763742679
enz1	20	94	0.1408485647
enz1	20	96	0.1176978664
enz1	20	98	0.08444584293
enz1	20	100	0.02571617949
enz1	20	102	0.04313831786
enz1	20	104	0.1357755948
enz1	20	106	0.1522996484
enz1	20	108	0.08634673957
enz1	20	110	0.2102395457
enz1	20	112	0.07531593816
enz1	20	114	0.1525530829
enz1	20	116	0.06812688072
enz1	20	118	0.1894909025
enz1	20	120	0.02762875244
enz1	20	122	0.1132881344
enz1	20	124	0.1772495647
enz1	20	126	0.1502850767
enz1	20	128	0.1997899838
enz1	20	130	0.1658092072
enz1	20	132	0.1255048655
enz1	20	134	0.1064614142
enz1	20	136	0.1109480878
enz1	20	138	0.1740371334
enz1	20	140	0.09582436095
enz1	20	142	0.1902937448
enz1	20	144	0.04122694235
enz1	20	146	0.1419083906
enz1	20	148	0.2116614591
enz1	20	150	0.1123007625
enz1	20	152	0.1940300494
enz1	20	154	0.09481680739
enz1	20	156	0.0554961569
enz1	20	158	0.1287625951
enz1	20	160	0.1143806182
enz1	20	162	0.1390599832
enz1	20	164	0.1422421394
enz1	20	166	0.1477908671
enz1	20	168	0.09130611958
enz1	20	170	0.06285262377
enz1	20	172	0.1890828862
enz1	20	174	0.2079756975
enz1	20	176	0.09530660119
enz1	20	178	0.1987112428
enz1	20	180	0.2018417737
enz1	20	182	0.1541744236
enz1	20	184	0.2387550666
enz1	20	186	0.2004174445
enz1	20	188	0.1677910498
enz1	20	190	0.1817172072
enz1	20	192	0.2737680028
enz1	20	194	0.152628327
enz1	20	196	0.2254584664
enz1	20	198	0.2217394953
enz1	20	200	0.2167322713
enz1	50	0	0.0009359590966
enz1	50	2	0.003043139061
enz1	50	4	-0.005807176487
enz1	50	6	-0.009023903814
enz1	50	8	-0.06064316638
enz1	50	10	0.0622987605
enz1	50	12	-0.063803454
enz1	50	14	0.06364668703
enz1	50	16	-0.02943731949
enz1	50	18	0.003838742393
enz1	50	20	-0.02429777494
enz1	50	22	0.07748163373
enz1	50	24	-0.04768906433
enz1	50	26	0.09553018328
enz1	50	28	0.07123001852
enz1	50	30	0.1274622576
enz1	50	32	0.05544389107
